    ,Serial Number,Course Name,Course Code,Course Acronym,Prerequisites,Preferable_Prerequisites,Antirequisites,Semester,Professor,Credits,Cluster,OptionalDept,embed_link
,203,Information Technology And Society,SOC207,ITS,None,SOC201,"""HSS212, HSS101""",Winter,Amrit Srinivasan,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRCkdF1vYV46MU91WIwvNLILP4TvqOVLnKGyfegcjbHj3_i6VgcP05kePHZQH9_SbhAuEAql7XNJNVR/pubhtml?gid=487985119&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,420,Organizations An Anthropological Perspective,SOC208,OAP,None,None,None,Winter,Information not available,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQR_91ie0z-HpL4AV76CRVaEPwPWsVyyIzurAOzZFsE-qEy6RZSnRby68rcsLMubKvsxpG_qGMLL2eM/pubhtml?gid=194821497&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,204,Consumer Culture and Society,SOC209,CCS,None,None,None ,Monsoon,Amrit Srinivasan,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRyr6sAiPrPvzcn6O7F2zqoUZNIH_ZA32twacofxdCu1z15fxb49vWhWiNzHR8lCd9fBfQnnh6-I0fV/pubhtml?gid=772752932&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,422,Sociological Theory,SOC210,ST1,None,SOC101,None ,Winter,Gayatri Nair,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQYcI6tn4L6P_Yo6PlM9UIa5Ekb8SN_fXSI1ySeNm-PFhe7gmVqvVo-UHA0hQOGR-dnokREo7AG1kMS/pubhtml?widget=true&amp;headers=false""></iframe>"
,205,"Science, Technology and Society",SOC211,STS,None,None,None ,Monsoon,Deepak Prince,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT-DxwVRIDx9j0ObPD5Ml2LaHDph9_39c7tW5WNFyxFh1AitueFsa9ac-7_UMhKaw/pubhtml?widget=true&amp;headers=false""></iframe>"
,424,Key Concepts in Economic Sociology,SOC212,KCES,None,None,None,Monsoon,Gayatri Nair,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vS1oyu6M6s08ucNp24rjhT_83MWDZHGofZrQG-AKhDxPDn0qXBQUc50VNPdgqtBgQMJkb1tBz3xWwj_/pubhtml?gid=321729943&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,206,Introduction to Digital Ethnography,SOC213,IDE,None,None,None,Winter,Soibam Haripriya,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT63W3yytSOMqS-Cb551Om0ItW07Aun_gxOgCjv4m689DAh2_faxRUcxDbDFjGoEw/pubhtml?widget=true&amp;headers=false""></iframe>"
,426,Sociology of Inequality,SOC214,,None,Social Inequality,None,Monsoon,Gayatri Nair ,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRGc3uagEvS3RIAkoMnrQZJhMYTvewe-0pSzNfyZHOgDte5Uoh9svUgUjLVyxZweg/pubhtml?widget=true&amp;headers=false""></iframe>"
,207,"Political Anthropology: State, Subject, Power",SOC216,PASSP,None,1 SSH/SOC class,None,Monsoon,Deepak Prince,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRr9C6VQ5skxOaw3a91pbmwT9afP1RiM_ykDLkxE1LPNREllKsIAIsCrgC60YHdmQ/pubhtml?widget=true&amp;headers=false""></iframe>"
,428,Urban Sociology,SOC302/SOC507,US,None,None,None ,Monsoon,Smriti Singh,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQjA-EPOZmKYeTiFblkLKNFBGf7PyEyv-UK4xGrJTtjbLFIzYmYc0K4xxUnTSRLtw/pubhtml?widget=true&amp;headers=false""></iframe>"
,208,Anthropology of Violence – I ,SOC306/SOC506,,None,SOC216,None,Monsoon,Deepak Prince,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRScT2LgL76CVvXcg1A2bV8EcRfm2HsJegsysCPs9RRbJDAIrCteCmsj3Es18z-0A/pubhtml?widget=true&amp;headers=false""></iframe>"
,430,Digital Social Research,SOC307,DSR,None,None,None,Monsoon,Swati Mantri,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSyfU8Rqovx3KZQu87xwTaOEhtaPngLPCQhKBY3kU_wr-iiih7nwFEuY45YYKMNUK9zQLh36I0NN4_J/pubhtml?gid=1505315556&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,209,Gender and Media,SOC308/SOC514,GM,None,None,None,Monsoon,Smriti Singh,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRx-5xdvXaB4m89Og_ZVpK4lAT4C-SN2ai8ZxL0WJMFMACUOmKDUqgGHG-O3w1u0g/pubhtml?widget=true&amp;headers=false""></iframe>"
,210,Digital Ethnography Research Methods,SOC310/SOC510,DERM,None,RMSSD,None,Winter,Soibam Haripriya,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRaRLOc_ENl8rz1fflv3FBfud6ktVLBG1OM0zwBlkUxe5T5lbw6oyuIapXtmt5hmg/pubhtml?gid=237311939&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,433,Advance Ethnographic Research Methods,SOC311/SOC501,AERM,SSH201,PhD-Prior sociology course,None,Monsoon,Soibam Haripriya,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRrdmv0jho70xll2Y6BOi25oQmaZivobchqp0vMfoHFh1UXD-OWXHgERhDsN7jyNg/pubhtml?widget=true&amp;headers=false""></iframe>"
,211,Sociology of India: Themes and Perspectives,SOC313/SOC503,SoI,None,None,None,Winter,Smriti Singh,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTeDHkFPkKI529cwd75L_6wU5qRt523EiDFsFAF7-tVcP1QkeCoDZVA7X1aWLWbIY-44bM5T69zZ54i/pubhtml?gid=277905017&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
